canonical_service,service_family,platform_count,platforms,raw_label_count
Buckinghamshire,Other / Unmapped,1,Rated People,1
Budgeting Help,Other / Unmapped,1,Airtasker,1
Built-In Furniture,Other / Unmapped,1,Rated People,1
Bulky Waste Collection,Other / Unmapped,1,Airtasker,1
Burger King Delivery,Other / Unmapped,1,Airtasker,1
Burger Takeaway,Other / Unmapped,1,Airtasker,1
Burglar Repairs,Other / Unmapped,1,Rated People,1
Business Advisory,Other / Unmapped,1,Airtasker,1
Business Coach,Other / Unmapped,1,Airtasker,1
Business Consultant,Other / Unmapped,1,Airtasker,1
Business Consulting,Other / Unmapped,1,Bark,1
CAD Designer,Other / Unmapped,1,Airtasker,1
CPR Training,Other / Unmapped,1,Airtasker,1
Cabinet Design,Other / Unmapped,1,Airtasker,1
Cabinet Installation,Other / Unmapped,1,Airtasker,1
Cabinet Makers / Handmade Furniture,Other / Unmapped,1,Checkatrade,1
Cabinet Making,Other / Unmapped,1,Airtasker,1
Cabling,Other / Unmapped,1,Checkatrade,1
Cafes & Coffee Shops,Other / Unmapped,1,Yell,1
Caithness,Other / Unmapped,1,Rated People,1
Cake Delivery,Other / Unmapped,1,Airtasker,1
Cake Toppers,Other / Unmapped,1,Airtasker,1
Cambelt Change,Other / Unmapped,1,Airtasker,1
Cambelts,Other / Unmapped,1,Checkatrade,1
Cambridgeshire,Other / Unmapped,1,Rated People,1
Car Accident Repair,Other / Unmapped,1,Airtasker,1
Car Aircon Regas,Other / Unmapped,1,Airtasker,1
Car Aircon Repair,Other / Unmapped,1,Airtasker,1
Car Audio,Other / Unmapped,1,Checkatrade,1
Car Battery Replacement,Other / Unmapped,1,Airtasker,1
Car Body Repair,Other / Unmapped,1,Airtasker,1
Car Body Repairs,Other / Unmapped,1,Yell,1
Car Body Work,Other / Unmapped,1,Airtasker,1
Car Bumper Repair,Other / Unmapped,1,Airtasker,1
Car CD Player Installation,Other / Unmapped,1,Airtasker,1
Car Dealerships,Other / Unmapped,1,Checkatrade,1
Car Delivery Service,Other / Unmapped,1,Airtasker,1
Car Diagnostics,Other / Unmapped,1,Airtasker,1
Car Inspection,Other / Unmapped,1,Airtasker,1
Car Key Repair,Other / Unmapped,1,Airtasker,1
Car Keyless Entry System Installation,Other / Unmapped,1,Airtasker,1
Car Ports,Other / Unmapped,1,Checkatrade,1
Car Respray,Other / Unmapped,1,Airtasker,1
Car Restoration,Other / Unmapped,1,Airtasker,1
Car Sales / Commercial Sales,Other / Unmapped,1,Checkatrade,1
Car Scratch Repair,Other / Unmapped,1,Airtasker,1
Car Seat Repair,Other / Unmapped,1,Airtasker,1
Car Service,Other / Unmapped,1,Airtasker,1
Car Servicing,Other / Unmapped,1,Checkatrade,1
Car Servicing and MOT,Other / Unmapped,1,Airtasker,1
Car Speaker Installation,Other / Unmapped,1,Airtasker,1
Car Stereo Installation,Other / Unmapped,1,Airtasker,1
Car Valet,Other / Unmapped,1,Airtasker,1
Car Welding,Other / Unmapped,1,Airtasker,1
Car Wrapping,Other / Unmapped,1,Airtasker,1
Caravan Transport,Other / Unmapped,1,Airtasker,1
Caravan Valeting,Other / Unmapped,1,Checkatrade,1
Carbon Bike Repair,Other / Unmapped,1,Airtasker,1
Carburetor Tuning,Other / Unmapped,1,Airtasker,1
Career Coach,Other / Unmapped,1,Airtasker,1
Carpet Fitter,Other / Unmapped,1,Checkatrade,1
Carpet Fitters,Other / Unmapped,1,Rated People,1
Carpet Laying & Installation,Other / Unmapped,1,Airtasker,1
Carpet Repair / Stretching,Other / Unmapped,1,Checkatrade,1
Carpet Supplier,Other / Unmapped,1,Checkatrade,1
Carpet Supply & Fit,Other / Unmapped,1,Checkatrade,1
Carpet Tiles,Other / Unmapped,1,Checkatrade,1
Carport Manufacturers,Other / Unmapped,1,Checkatrade,1
Carport Suppliers,Other / Unmapped,1,Checkatrade,1
Carports Installed,Other / Unmapped,1,Checkatrade,1
Case Study Writing,Other / Unmapped,1,Airtasker,1
Cat Boarding,Other / Unmapped,1,Airtasker,1
Cat Care,Other / Unmapped,1,Airtasker,1
Cat Flap - Installation,Other / Unmapped,1,Rated People,1
Cat Flap Fitter,Other / Unmapped,1,Airtasker,1
Cat Flaps,Other / Unmapped,1,Checkatrade,1
Cat Grooming,Other / Unmapped,1,Airtasker,1
Cat Training,Other / Unmapped,1,Airtasker,1
Catalogue Delivery,Other / Unmapped,1,Airtasker,1
Ceiling Cladding,Other / Unmapped,1,Airtasker,1
Ceiling Fan Installation,Other / Unmapped,1,Airtasker,1
Ceiling Fan Repair,Other / Unmapped,1,Airtasker,1
Celebration Cakes,Other / Unmapped,1,Airtasker,1
Cellar & Basement Clearance,Other / Unmapped,1,Airtasker,1
Cellar & Basement Conversion,Other / Unmapped,1,Rated People,1
Central Locking Installation,Other / Unmapped,1,Airtasker,1
Chainsaw Service & Repair,Other / Unmapped,1,Airtasker,1
Chainsawing,Other / Unmapped,1,Airtasker,1
Chair Repair,Other / Unmapped,1,Airtasker,1
Chandelier Installation,Other / Unmapped,1,Airtasker,1
Charity Shops,Other / Unmapped,1,Yell,1
Chauffeur,Other / Unmapped,1,Checkatrade,1
