borough_code,borough,ons_industry_group,local_unit_count
E09000020,Kensington and Chelsea,46 : Wholesale,545
E09000020,Kensington and Chelsea,47 : Retail,1870
E09000020,Kensington and Chelsea,49-53 : Transport & Storage (inc. postal),180
E09000020,Kensington and Chelsea,55-56 : Accommodation & food services,1110
E09000020,Kensington and Chelsea,58-63 : Information & communication,1160
E09000020,Kensington and Chelsea,64-66 : Finance & insurance,505
E09000020,Kensington and Chelsea,68 : Property,1155
E09000020,Kensington and Chelsea,"69-75 : Professional, scientific & technical",3100
E09000020,Kensington and Chelsea,77-82 : Business administration & support services,1590
E09000020,Kensington and Chelsea,84 : Public administration & defence,35
E09000020,Kensington and Chelsea,85 : Education,320
E09000020,Kensington and Chelsea,86-88 : Health,670
E09000020,Kensington and Chelsea,"90-99 : Arts, entertainment, recreation & other services",1400
E09000021,Kingston upon Thames,"01-03 : Agriculture, forestry & fishing",15
E09000021,Kingston upon Thames,05-39 : Production,295
E09000021,Kingston upon Thames,41-43 : Construction,1060
E09000021,Kingston upon Thames,45 : Motor trades,155
E09000021,Kingston upon Thames,46 : Wholesale,385
E09000021,Kingston upon Thames,47 : Retail,1100
E09000021,Kingston upon Thames,49-53 : Transport & Storage (inc. postal),250
E09000021,Kingston upon Thames,55-56 : Accommodation & food services,605
E09000021,Kingston upon Thames,58-63 : Information & communication,955
E09000021,Kingston upon Thames,64-66 : Finance & insurance,115
E09000021,Kingston upon Thames,68 : Property,385
E09000021,Kingston upon Thames,"69-75 : Professional, scientific & technical",1745
E09000021,Kingston upon Thames,77-82 : Business administration & support services,825
E09000021,Kingston upon Thames,84 : Public administration & defence,70
E09000021,Kingston upon Thames,85 : Education,230
E09000021,Kingston upon Thames,86-88 : Health,525
E09000021,Kingston upon Thames,"90-99 : Arts, entertainment, recreation & other services",670
E09000022,Lambeth,"01-03 : Agriculture, forestry & fishing",15
E09000022,Lambeth,05-39 : Production,420
E09000022,Lambeth,41-43 : Construction,1090
E09000022,Lambeth,45 : Motor trades,140
E09000022,Lambeth,46 : Wholesale,430
E09000022,Lambeth,47 : Retail,1300
E09000022,Lambeth,49-53 : Transport & Storage (inc. postal),365
E09000022,Lambeth,55-56 : Accommodation & food services,1310
E09000022,Lambeth,58-63 : Information & communication,1675
E09000022,Lambeth,64-66 : Finance & insurance,220
E09000022,Lambeth,68 : Property,740
E09000022,Lambeth,"69-75 : Professional, scientific & technical",2925
E09000022,Lambeth,77-82 : Business administration & support services,1555
E09000022,Lambeth,84 : Public administration & defence,60
E09000022,Lambeth,85 : Education,385
E09000022,Lambeth,86-88 : Health,955
E09000022,Lambeth,"90-99 : Arts, entertainment, recreation & other services",1480
E09000023,Lewisham,"01-03 : Agriculture, forestry & fishing",15
E09000023,Lewisham,05-39 : Production,295
E09000023,Lewisham,41-43 : Construction,1080
E09000023,Lewisham,45 : Motor trades,140
E09000023,Lewisham,46 : Wholesale,285
E09000023,Lewisham,47 : Retail,1110
E09000023,Lewisham,49-53 : Transport & Storage (inc. postal),375
E09000023,Lewisham,55-56 : Accommodation & food services,920
E09000023,Lewisham,58-63 : Information & communication,1215
E09000023,Lewisham,64-66 : Finance & insurance,100
E09000023,Lewisham,68 : Property,350
E09000023,Lewisham,"69-75 : Professional, scientific & technical",1825
E09000023,Lewisham,77-82 : Business administration & support services,885
E09000023,Lewisham,84 : Public administration & defence,35
E09000023,Lewisham,85 : Education,285
E09000023,Lewisham,86-88 : Health,710
E09000023,Lewisham,"90-99 : Arts, entertainment, recreation & other services",1175
E09000024,Merton,"01-03 : Agriculture, forestry & fishing",20
E09000024,Merton,05-39 : Production,375
E09000024,Merton,41-43 : Construction,1675
E09000024,Merton,45 : Motor trades,260
E09000024,Merton,46 : Wholesale,470
E09000024,Merton,47 : Retail,1045
E09000024,Merton,49-53 : Transport & Storage (inc. postal),615
E09000024,Merton,55-56 : Accommodation & food services,675
E09000024,Merton,58-63 : Information & communication,1130
E09000024,Merton,64-66 : Finance & insurance,185
E09000024,Merton,68 : Property,570
E09000024,Merton,"69-75 : Professional, scientific & technical",2170
E09000024,Merton,77-82 : Business administration & support services,1215
E09000024,Merton,84 : Public administration & defence,20
E09000024,Merton,85 : Education,310
E09000024,Merton,86-88 : Health,670
E09000024,Merton,"90-99 : Arts, entertainment, recreation & other services",825
E09000025,Newham,"01-03 : Agriculture, forestry & fishing",10
E09000025,Newham,05-39 : Production,475
E09000025,Newham,41-43 : Construction,2325
E09000025,Newham,45 : Motor trades,240
