platform,raw_service,geography_scope,source_url,source_type,collection_date,coverage_note,platform_key,service_key,comparison_key,source_version
Rated People,Emergency / 24 Hour Plumber,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,emergency 24 hour plumber,rated people||emergency 24 hour plumber,V2
Rated People,Emergency Electrician,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,emergency electrician,rated people||emergency electrician,V2
Rated People,End of Tenancy Cleaning,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,end of tenancy cleaning,rated people||end of tenancy cleaning,V2
Rated People,External Lighting,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,external lighting,rated people||external lighting,V2
Rated People,External Rendering,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,external rendering,rated people||external rendering,V2
Rated People,External Tiling,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,external tiling,rated people||external tiling,V2
Rated People,External Wall Insulation,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,external wall insulation,rated people||external wall insulation,V2
Rated People,External Wall Painting,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,external wall painting,rated people||external wall painting,V2
Rated People,Find a tradesperson,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,find a tradesperson,rated people||find a tradesperson,V2
Rated People,Fire Alarm Installation,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,fire alarm installation,rated people||fire alarm installation,V2
Rated People,Fireplace,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,fireplace,rated people||fireplace,V2
Rated People,Fitted Bedrooms / Wardrobes,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,fitted bedrooms wardrobes,rated people||fitted bedrooms wardrobes,V2
Rated People,Fitted Kitchens,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,fitted kitchens,rated people||fitted kitchens,V2
Rated People,Flat Pack Furniture Assembly,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,flat pack furniture assembly,rated people||flat pack furniture assembly,V2
Rated People,Flat Roof - Installation / Repair,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,flat roof - installation repair,rated people||flat roof - installation repair,V2
Rated People,Floor Sanding & Finishing,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,floor sanding and finishing,rated people||floor sanding and finishing,V2
Rated People,Floor Tiling,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,floor tiling,rated people||floor tiling,V2
