borough_code,borough,service_family,vendor_supply_proxy,ons_group_count,borough_supply_rank,borough_supply_percentile
E09000032,Wandsworth,Asbestos & Hazardous Material Services,4960,2,12,66.7
E09000026,Redbridge,Asbestos & Hazardous Material Services,4900,2,13,63.6
E09000008,Croydon,Asbestos & Hazardous Material Services,4830,2,14,60.6
E09000017,Hillingdon,Asbestos & Hazardous Material Services,4790,2,15,57.6
E09000005,Brent,Asbestos & Hazardous Material Services,4620,2,16,54.5
E09000030,Tower Hamlets,Asbestos & Hazardous Material Services,4520,2,17,51.5
E09000027,Richmond upon Thames,Asbestos & Hazardous Material Services,4310,2,18,48.5
E09000016,Havering,Asbestos & Hazardous Material Services,4285,2,19,45.5
E09000031,Waltham Forest,Asbestos & Hazardous Material Services,4155,2,20,42.4
E09000022,Lambeth,Asbestos & Hazardous Material Services,4015,2,21,37.9
E09000025,Newham,Asbestos & Hazardous Material Services,4015,2,21,37.9
E09000020,Kensington and Chelsea,Asbestos & Hazardous Material Services,3935,2,22,33.3
E09000014,Haringey,Asbestos & Hazardous Material Services,3865,2,23,30.3
E09000024,Merton,Asbestos & Hazardous Material Services,3845,2,24,27.3
E09000018,Hounslow,Asbestos & Hazardous Material Services,3780,2,25,24.2
E09000013,Hammersmith and Fulham,Asbestos & Hazardous Material Services,3710,2,26,21.2
E09000004,Bexley,Asbestos & Hazardous Material Services,3280,2,27,18.2
E09000011,Greenwich,Asbestos & Hazardous Material Services,3165,2,28,15.2
E09000029,Sutton,Asbestos & Hazardous Material Services,3090,2,29,12.1
E09000023,Lewisham,Asbestos & Hazardous Material Services,2905,2,30,9.1
E09000002,Barking and Dagenham,Asbestos & Hazardous Material Services,2815,2,31,6.1
E09000021,Kingston upon Thames,Asbestos & Hazardous Material Services,2805,2,32,3.0
E09000003,Barnet,Bathroom Services,3795,1,1,100.0
E09000033,Westminster,Bathroom Services,3325,1,2,97.0
E09000016,Havering,Bathroom Services,3020,1,3,93.9
E09000010,Enfield,Bathroom Services,2860,1,4,90.9
E09000017,Hillingdon,Bathroom Services,2815,1,5,87.9
E09000009,Ealing,Bathroom Services,2745,1,6,84.8
E09000026,Redbridge,Bathroom Services,2735,1,7,81.8
E09000006,Bromley,Bathroom Services,2605,1,8,78.8
E09000015,Harrow,Bathroom Services,2550,1,9,75.8
E09000005,Brent,Bathroom Services,2475,1,10,72.7
E09000008,Croydon,Bathroom Services,2420,1,11,69.7
E09000025,Newham,Bathroom Services,2325,1,12,66.7
E09000031,Waltham Forest,Bathroom Services,2245,1,13,63.6
E09000004,Bexley,Bathroom Services,2125,1,14,60.6
E09000007,Camden,Bathroom Services,2090,1,15,57.6
E09000002,Barking and Dagenham,Bathroom Services,2055,1,16,54.5
E09000029,Sutton,Bathroom Services,1820,1,17,51.5
E09000018,Hounslow,Bathroom Services,1775,1,18,48.5
E09000012,Hackney,Bathroom Services,1730,1,19,45.5
E09000024,Merton,Bathroom Services,1675,1,20,42.4
E09000014,Haringey,Bathroom Services,1545,1,21,39.4
E09000019,Islington,Bathroom Services,1530,1,22,36.4
E09000011,Greenwich,Bathroom Services,1495,1,23,33.3
E09000032,Wandsworth,Bathroom Services,1205,1,24,30.3
E09000030,Tower Hamlets,Bathroom Services,1095,1,25,27.3
E09000022,Lambeth,Bathroom Services,1090,1,26,24.2
E09000023,Lewisham,Bathroom Services,1080,1,27,21.2
